,Folder,,,,,,,,,,,control,CK,SMI
,20190117,20190305,20190327,20200109,Average,Stdev,,,,,,1601,2349,2165
Ctrl,2440.074074,2480.277778,2639.333333,2326.800926,2471.621528,129.3192805,,,,,,2602,2017,1722
CK,2314.222222,2433.555556,2666.888889,,2471.555556,179.3779375,,,,,,1859,1927,3423
SMI,,2345,2488.166667,2613.02381,2482.063492,134.1160959,,,,,,2554,2731,2536
,,,,,,,,,,,,2493,2407,2071
,,,,,,,,,,,,2232,2136,2055
,,,,,,,,,,,,3467,2641,2006
,,,,,,,,,,,,1905,2234,2411
,,,,,,,,,,,,2133,2541,2918
,,,,,,,,,,,,3215,3087,3231
,,,,,,,,,,,,2711,2134,1896
,,,,,,,,,,,,2639,2329,2106
,,,,,,,,,,,,2829,1960,2357
,,,,,,,,,,,,2345,1718,2193
,,,,,,,,,,,,2563,2040,2099
,,,,,,,,,,,,2165,2627,2376
,,,,,,,,,,,,2426,2249,2438
,,,,,,,,,,,,2491,2739,2207
,,,,,,,,,,,,2650,2424,2786
,,,,,,,,,,,,2991,2115,2399
,,,,,,,,,,,,2287,2300,2186
,,,,,,,,,,,,2005,2110,2410
,,,,,,,,,,,,2257,2280,3241
,,,,,,,,,,,,3664,2077,2479
,,,,,,,,,,,,1898,2719,2884
,,,,,,,,,,,,2001,2501,2241
,,,,,,,,,,,,1899,2092,2324
,,,,,,,,,,,,3971,3525,3178
,,,,,,,,,,,,2211,2021,1868
,,,,,,,,,,,,2424,2160,2043
,,,,,,,,,,,,1965,1999,2126
,,,,,,,,,,,,1884,2333,2275
,,,,,,,,,,,,1980,1919,1963
,,,,,,,,,,,,2207,2262,2748
,,,,,,,,,,,,2435,2506,3005
,,,,,,,,,,,,2569,2409,2631
,,,,,,,,,,,,2943,2540,3027
,,,,,,,,,,,,2231,2611,1877
,,,,,,,,,,,,2703,2308,2377
,,,,,,,,,,,,2433,2104,2980
,,,,,,,,,,,,2078,2464,1847
,,,,,,,,,,,,1950,2616,3111
,,,,,,,,,,,,3379,1985,3557
,,,,,,,,,,,,1911,3107,2205
,,,,,,,,,,,,2013,2935,3811
,,,,,,,,,,,,2730,2858,3961
,,,,,,,,,,,,2134,4580,2329
,,,,,,,,,,,,2106,2693,1987
,,,,,,,,,,,,3094,2390,2006
,,,,,,,,,,,,2611,2892,2153
,,,,,,,,,,,,2893,2029,1894
,,,,,,,,,,,,4282,2180,2270
,,,,,,,,,,,,2271,2214,1887
,,,,,,,,,,,,2379,1843,2675
,,,,,,,,,,,,2099,1932,2308
,,,,,,,,,,,,2148,3085,2341
,,,,,,,,,,,,2386,2492,3500
,,,,,,,,,,,,2660,2020,3166
,,,,,,,,,,,,3565,2397,
,,,,,,,,,,,,2366,2046,
,,,,,,,,,,,,2857,2771,
,,,,,,,,,,,,3369,2604,
,,,,,,,,,,,,2441,4655,
